"speed" "dist" "label"
"1" 4 2 4
"2" 4 10 4
"3" 7 4 2
"4" 7 22 4
"5" 8 16 3
"6" 9 10 3
"7" 10 18 3
"8" 10 26 1
"9" 10 34 3
"10" 11 17 3
"11" 11 28 2
"12" 12 14 3
"13" 12 20 4
"14" 12 24 2
"15" 12 28 2
"16" 13 26 4
"17" 13 34 4
"18" 13 34 1
"19" 13 46 2
"20" 14 26 3
"21" 14 36 4
"22" 14 60 1
"23" 14 80 4
"24" 15 20 4
"25" 15 26 1
"26" 15 54 3
"27" 16 32 2
"28" 16 40 4
"29" 17 32 2
"30" 17 40 4
"31" 17 50 3
"32" 18 42 4
"33" 18 56 2
"34" 18 76 3
"35" 18 84 1
"36" 19 36 4
"37" 19 46 1
"38" 19 68 1
"39" 20 32 4
"40" 20 48 3
"41" 20 52 2
"42" 20 56 2
"43" 20 64 1
"44" 22 66 4
"45" 23 54 2
"46" 24 70 4
"47" 24 92 4
"48" 24 93 3
"49" 24 120 4
"50" 25 85 3
