"Date","PgTF","Species","Cl","ClER","NO3","NO3ER","SO4","SO4ER"
"2014_07_16","Pg","precipitation",0.342929437058046,NA,0.926755753345788,NA,0.0250720782205462,NA
"2014_07_16","TF","Q.shumardii",NA,NA,NA,NA,NA,NA
"2014_07_16","TF","Q.stellata",NA,NA,NA,NA,NA,NA
"2014_07_16","TF","C.ovata",NA,NA,NA,NA,NA,NA
"2014_07_16","TF","Q.pagoda",NA,NA,NA,NA,NA,NA
"2014_07_16","TF","Q.alba",NA,NA,NA,NA,NA,NA
"2014_07_16","TF","C.glabra",NA,NA,NA,NA,NA,NA
"2014_07_20","Pg","precipitation",0.590898955473676,NA,0.214361458085477,NA,0.0705986456014216,NA
"2014_07_20","TF","Q.shumardii",0.686598107917234,NA,0.210213588783517,NA,0.0754306095186621,NA
"2014_07_20","TF","Q.stellata",NA,NA,NA,NA,NA,NA
"2014_07_20","TF","C.ovata",0.201937660342082,NA,0.52354914881289,NA,0.61541202571243,NA
"2014_07_20","TF","Q.pagoda",NA,NA,NA,NA,NA,NA
"2014_07_20","TF","Q.alba",NA,NA,NA,NA,NA,NA
"2014_07_20","TF","C.glabra",NA,NA,NA,NA,NA,NA
"2014_10_03","Pg","precipitation",0.277767755556852,NA,0.67655776697211,NA,0.258649981347844,NA
"2014_10_03","TF","Q.shumardii",0.821870289044455,NA,0.983169456478208,NA,0.681768491398543,NA
"2014_10_03","TF","Q.stellata",NA,NA,NA,NA,NA,NA
"2014_10_03","TF","C.ovata",0.400537010282278,NA,0.819233197718859,NA,0.694216141011566,NA
"2014_10_03","TF","Q.pagoda",0.108534884406254,NA,0.993615981657058,NA,0.415896594990045,NA
"2014_10_03","TF","Q.alba",NA,NA,NA,NA,NA,NA
"2014_10_03","TF","C.glabra",NA,NA,NA,NA,NA,NA
"2014_10_14","Pg","precipitation",NA,NA,NA,NA,NA,NA
"2014_10_14","TF","Q.shumardii",0.545185077935457,NA,0.150967246852815,NA,0.449915645178407,NA
"2014_10_14","TF","Q.stellata",NA,NA,NA,NA,NA,NA
"2014_10_14","TF","C.ovata",0.820386392297223,NA,0.446793059119955,NA,0.0209631561301649,NA
"2014_10_14","TF","Q.pagoda",0.450135417748243,NA,0.571819792501628,NA,0.592942950315773,NA
"2014_10_14","TF","Q.alba",0.502983380807564,NA,0.106487492099404,NA,0.242896801326424,NA
"2014_10_14","TF","C.glabra",0.156141965650022,NA,0.842791330302134,NA,0.2778860272374,NA
"2014_10_29","Pg","precipitation",0.555741862393916,NA,0.0869009695015848,NA,0.199134055757895,NA
"2014_10_29","TF","Q.shumardii",0.413494602311403,NA,0.896469744155183,NA,0.167789520230144,NA
"2014_10_29","TF","Q.stellata",0.540535317268223,NA,0.852283072425053,NA,0.0658315576147288,NA
"2014_10_29","TF","C.ovata",NA,NA,NA,NA,NA,NA
